,match_id,date_string,home_team_id,away_team_id,half_time_score,full_time_score,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away,result_home
0,1190202,2017-09-16 17:30:00,30,259,0 : 0,0 : 0,6.87230769230769,674,757,4,8,14,11,0,14,11,27,74.9,6.84214285714286,164,257,0,0,4,1,0,17,9,7,25.1,0,0,0,0,0.0
0,1190191,2017-09-17 13:30:00,15,13,0 : 0,0 : 0,6.73857142857143,416,532,6,4,3,5,0,13,11,26,50.6,6.83785714285714,411,520,4,2,5,1,0,19,15,15,49.4,0,0,0,0,0.0
0,1190198,2017-09-17 16:00:00,32,31,1 : 0,4 : 0,7.42428571428571,403,476,4,7,5,4,0,14,15,18,49.2,6.05357142857143,415,510,2,3,2,1,0,22,14,19,50.8,1,0,4,0,1.0
0,1190247,2017-09-23 12:30:00,29,30,0 : 2,2 : 3,6.63285714285714,261,367,1,4,5,4,0,19,10,28,48.9,6.86285714285714,293,394,3,5,7,3,0,19,20,29,51.1,0,2,2,3,-1.0
0,1190216,2017-09-23 15:00:00,184,166,0 : 0,0 : 0,6.76307692307692,333,456,1,2,1,3,0,15,9,31,52.0,6.84642857142857,316,417,2,2,5,4,0,25,14,31,48.0,0,0,0,0,0.0
0,1190219,2017-09-23 15:00:00,31,183,0 : 0,2 : 1,6.855,334,426,4,3,5,4,0,19,12,25,50.6,6.50571428571429,321,415,2,4,2,6,0,13,11,20,49.4,0,0,2,1,1.0
0,1190240,2017-09-23 15:00:00,18,32,0 : 1,0 : 1,6.43071428571429,453,544,4,4,6,8,0,18,12,21,60.6,6.99214285714286,288,368,2,4,3,4,0,16,9,18,39.4,0,1,0,1,-1.0
0,1190243,2017-09-23 15:00:00,96,15,0 : 2,0 : 4,5.82230769230769,319,407,4,2,7,5,0,18,5,27,44.1,7.52571428571429,466,547,0,4,3,0,0,26,14,17,55.9,0,2,0,4,-1.0
0,1190237,2017-09-23 15:00:00,167,162,1 : 0,5 : 0,7.62214285714286,656,724,9,9,7,8,0,6,6,21,71.9,6.05153846153846,205,281,3,0,2,2,0,16,7,21,28.1,1,0,5,0,1.0
0,1190245,2017-09-23 15:00:00,259,27,0 : 1,1 : 2,6.505,323,429,4,3,3,6,0,21,9,24,50.8,6.89428571428572,340,433,2,4,2,4,0,17,16,22,49.2,0,1,1,2,-1.0
0,1190222,2017-09-23 17:30:00,14,26,1 : 2,2 : 3,6.55857142857143,237,360,3,7,2,3,0,15,13,41,43.3,7.14142857142857,352,486,8,6,9,6,1,14,14,25,56.7,1,2,2,3,-1.0
0,1190213,2017-09-24 16:00:00,211,23,0 : 0,1 : 0,7.2775,339,438,2,3,2,2,0,16,6,25,48.8,6.54714285714286,365,458,5,5,7,8,0,14,8,28,51.2,0,0,1,0,1.0
0,1190210,2017-09-25 20:00:00,13,175,1 : 0,2 : 0,7.24142857142857,537,615,4,6,6,7,0,15,8,19,69.1,6.33428571428571,188,272,1,3,3,4,0,16,17,16,30.9,1,0,2,0,1.0
0,1190257,2017-09-30 14:30:00,166,30,0 : 3,0 : 4,6.04214285714286,269,368,3,1,2,4,0,25,7,31,40.5,7.465,452,558,2,7,5,7,0,16,4,30,59.5,0,3,0,4,-1.0
0,1190251,2017-09-30 15:00:00,183,14,0 : 0,0 : 0,6.85357142857143,436,540,5,4,10,7,0,12,6,23,60.9,6.84928571428571,221,347,3,1,4,5,0,19,10,18,39.1,0,0,0,0,0.0
0,1190265,2017-09-30 15:00:00,29,259,0 : 0,1 : 0,7.06214285714286,287,375,2,4,3,2,0,22,15,29,43.2,6.45571428571429,412,501,2,1,3,1,0,14,13,29,56.8,0,0,1,0,1.0
0,1190263,2017-09-30 15:00:00,96,18,1 : 0,2 : 1,6.87571428571429,171,262,10,6,1,5,0,14,11,21,29.5,6.78,533,620,6,3,12,6,1,14,10,20,70.5,1,0,2,1,1.0
0,1190264,2017-09-30 15:00:00,175,27,2 : 1,2 : 2,6.84785714285714,205,295,2,4,3,7,0,25,12,11,34.9,6.81846153846154,464,552,6,3,6,6,0,21,11,22,65.1,2,1,2,2,0.0
0,1190259,2017-09-30 15:00:00,32,162,2 : 0,4 : 0,7.565,474,566,5,7,6,6,0,17,6,21,59.3,6.10357142857143,295,377,1,1,4,5,0,20,9,17,40.7,2,0,4,0,1.0
0,1190253,2017-09-30 17:30:00,15,167,0 : 0,0 : 1,6.49785714285714,311,395,0,2,2,4,0,19,8,25,38.1,7.06428571428571,578,653,5,6,6,8,0,19,13,19,61.9,0,0,0,1,-1.0
0,1190249,2017-10-01 12:00:00,13,211,1 : 0,2 : 0,7.405,612,697,6,11,8,6,0,15,7,17,65.2,6.55357142857143,269,357,3,1,5,5,0,10,8,26,34.8,1,0,2,0,1.0
0,1190255,2017-10-01 14:15:00,31,184,0 : 1,0 : 1,6.55642857142857,398,501,8,4,13,9,0,8,14,15,63.2,7.3525,179,295,2,2,1,3,0,18,7,18,36.8,0,1,0,1,-1.0
0,1190261,2017-10-01 16:30:00,23,26,1 : 1,1 : 1,6.52214285714286,196,295,2,5,1,1,0,14,11,21,32.2,6.72428571428571,515,613,6,2,9,5,0,16,6,24,67.8,1,1,1,1,0.0
0,1190270,2017-10-14 12:30:00,26,32,0 : 0,0 : 0,6.96285714285714,500,580,6,5,8,7,0,17,7,32,62.2,6.69428571428571,267,354,3,1,2,3,0,21,13,23,37.8,0,0,0,0,0.0
0,1190534,2017-10-14 15:00:00,30,183,0 : 0,1 : 0,7.01285714285714,613,688,8,6,4,9,0,19,9,32,72.9,6.37142857142857,169,254,1,1,3,5,0,11,7,19,27.1,0,0,1,0,1.0
0,1190271,2017-10-14 15:00:00,167,96,3 : 1,7 : 2,7.58928571428571,814,892,0,11,9,5,0,12,5,18,79.3,5.75714285714286,152,231,1,1,3,0,0,12,8,13,20.7,3,1,7,2,1.0
0,1190268,2017-10-14 15:00:00,162,15,2 : 1,2 : 1,6.715,309,431,3,5,6,5,0,23,7,23,43.0,6.75785714285714,459,559,4,5,6,8,0,23,6,19,57.0,2,1,2,1,1.0
0,1190267,2017-10-14 15:00:00,184,29,0 : 1,1 : 1,6.68857142857143,356,454,7,5,8,7,0,12,11,21,62.1,6.62,189,285,1,6,1,4,0,9,14,18,37.9,0,1,1,1,0.0
0,1190273,2017-10-14 17:00:00,259,166,1 : 0,2 : 0,6.96857142857143,280,360,2,3,2,5,0,15,12,23,40.2,6.17928571428571,458,539,4,2,1,3,0,16,16,18,59.8,1,0,2,0,1.0
0,1190537,2017-10-14 17:30:00,27,13,0 : 1,2 : 1,6.82785714285714,365,465,3,2,6,2,0,15,8,19,46.1,6.59285714285714,442,552,0,6,3,5,0,18,10,15,53.9,0,1,2,1,1.0
0,1190266,2017-10-15 13:30:00,211,31,0 : 0,1 : 1,6.835,285,385,6,3,3,7,0,18,12,18,46.9,6.83428571428572,354,451,2,6,5,1,0,20,10,22,53.1,0,0,1,1,0.0
0,1190272,2017-10-15 16:00:00,18,23,0 : 1,2 : 2,6.78714285714286,495,583,4,2,6,3,0,11,11,24,61.8,6.63285714285714,260,347,6,5,8,8,0,14,12,19,38.2,0,1,2,2,0.0
0,1190269,2017-10-16 20:00:00,14,175,0 : 0,1 : 1,6.67,367,486,4,3,4,4,0,21,13,35,57.0,6.67153846153846,271,378,1,1,3,1,0,15,6,31,43.0,0,0,1,1,0.0
0,1190235,2017-10-20 20:00:00,29,211,0 : 2,0 : 3,6.13769230769231,506,604,9,2,5,10,0,15,5,25,65.0,7.27357142857143,251,337,1,5,1,3,0,10,13,17,35.0,0,2,0,3,-1.0
0,1190540,2017-10-21 12:30:00,15,27,1 : 1,4 : 2,7.28642857142857,377,462,1,8,5,6,0,22,13,11,52.5,6.43714285714286,324,406,5,5,6,6,0,17,16,22,47.5,1,1,4,2,1.0
0,1190233,2017-10-21 15:00:00,259,14,0 : 1,1 : 2,6.56571428571428,379,463,7,4,8,7,0,17,6,31,55.8,7.07230769230769,276,381,2,6,3,6,0,23,9,22,44.2,0,1,1,2,-1.0
0,1190232,2017-10-21 15:00:00,96,183,0 : 2,1 : 2,6.45538461538462,287,407,2,3,6,8,0,11,17,30,52.3,6.79357142857143,282,391,1,3,3,3,0,17,10,23,47.7,0,2,1,2,-1.0
0,1190226,2017-10-21 15:00:00,166,32,2 : 0,2 : 1,6.88285714285714,116,210,2,3,0,4,0,27,10,13,22.1,6.42214285714286,643,741,3,3,3,7,0,13,12,28,77.9,2,0,2,1,1.0
